778.757	657.975	1	639.420	658.005	1	494.886	657.947	1	363.136	658.104	1	581.085	512.170	1	437.981	511.803	1	298.386	512.115	1	182.102	511.999	1	399.599	650.025	1	264.403	649.662	1	134.800	649.676	1	-1.000	-1.000	0	271.474	514.216	1	152.870	513.523	1	-1.000	-1.000	0	-1.000	-1.000	0	228.026	636.893	1	100.557	637.396	1	-1.000	-1.000	0	-1.000	-1.000	0
792.584	618.652	1	652.718	618.629	1	507.986	618.852	1	375.372	618.739	1	592.729	474.087	1	448.690	473.755	1	308.435	473.955	1	191.753	473.769	1	408.101	613.254	1	272.435	613.133	1	141.991	612.863	1	-1.000	-1.000	0	277.420	479.525	1	157.523	479.034	1	-1.000	-1.000	0	-1.000	-1.000	0	231.449	604.804	1	102.885	604.879	1	-1.000	-1.000	0	-1.000	-1.000	0
803.043	577.993	1	663.053	577.981	1	517.127	578.099	1	384.302	578.031	1	600.650	433.575	1	456.569	433.831	1	315.741	434.212	1	198.463	433.880	1	414.265	575.369	1	277.970	575.417	1	146.725	575.345	1	-1.000	-1.000	0	281.398	443.011	1	161.312	442.692	1	-1.000	-1.000	0	-1.000	-1.000	0	233.369	571.041	1	104.252	571.389	1	-1.000	-1.000	0	-1.000	-1.000	0
798.051	535.384	1	657.879	535.510	1	512.686	535.596	1	379.865	535.764	1	596.654	392.119	1	452.756	392.403	1	312.027	392.633	1	194.837	392.460	1	411.583	536.454	1	275.254	536.106	1	144.632	536.279	1	-1.000	-1.000	0	279.426	405.119	1	158.814	405.042	1	-1.000	-1.000	0	-1.000	-1.000	0	232.507	536.437	1	103.572	536.474	1	-1.000	-1.000	0	-1.000	-1.000	0
790.522	493.174	1	650.814	493.176	1	505.904	493.087	1	373.037	492.771	1	590.724	351.218	1	447.046	351.645	1	-1.000	-1.000	0	-1.000	-1.000	0	406.719	496.248	1	270.932	496.399	1	140.732	496.276	1	-1.000	-1.000	0	276.563	367.692	1	-1.000	-1.000	0	-1.000	-1.000	0	-1.000	-1.000	0	230.991	500.570	1	102.493	501.022	1	-1.000	-1.000	0	-1.000	-1.000	0
789.179	450.063	1	649.557	449.940	1	-1.000	-1.000	0	372.172	449.843	1	-1.000	-1.000	0	-1.000	-1.000	0	305.714	309.872	1	-1.000	-1.000	0	405.991	456.086	1	270.122	456.205	1	140.043	456.447	1	-1.000	-1.000	0	276.036	329.583	1	157.030	330.165	1	28.000	357.654	1	-1.000	-1.000	0	230.412	465.188	1	102.372	465.738	1	-1.000	-1.000	0	-1.000	-1.000	0
822.869	431.036	1	682.238	430.342	1	536.391	429.794	1	403.039	429.109	1	618.133	287.999	1	473.244	287.284	1	331.878	286.995	1	214.299	286.343	1	429.499	433.836	1	292.311	433.146	1	160.779	432.751	1	-1.000	-1.000	0	291.859	305.150	1	170.544	304.786	1	-1.000	-1.000	0	-1.000	-1.000	0	239.760	441.147	1	109.078	441.212	1	-1.000	-1.000	0	-1.000	-1.000	0
842.927	471.756	1	700.983	472.014	1	553.854	472.257	1	419.369	472.919	1	634.610	329.899	1	488.460	330.633	1	345.360	330.967	1	226.425	331.428	1	439.655	478.485	1	301.009	479.009	1	167.969	479.354	1	-1.000	-1.000	0	299.009	349.833	1	175.662	350.585	1	44.232	350.767	1	-1.000	-1.000	0	241.373	486.529	1	110.237	486.411	1	-1.000	-1.000	0	-1.000	-1.000	0
845.250	514.421	1	703.158	514.038	1	555.472	514.267	1	420.710	514.471	1	635.207	369.756	1	488.322	369.862	1	345.245	369.707	1	225.980	369.517	1	440.064	516.081	1	301.071	516.040	1	167.494	516.160	1	-1.000	-1.000	0	298.510	383.606	1	175.123	384.048	1	43.764	383.930	1	-1.000	-1.000	0	241.191	518.376	1	109.959	518.246	1	-1.000	-1.000	0	-1.000	-1.000	0
844.841	558.255	1	702.834	558.346	1	555.053	558.377	1	420.365	558.311	1	635.116	412.075	1	488.084	412.389	1	344.882	412.199	1	225.797	412.309	1	439.661	557.195	1	300.663	557.363	1	167.414	557.179	1	-1.000	-1.000	0	298.443	422.605	1	174.802	422.873	1	43.732	422.713	1	-1.000	-1.000	0	241.166	555.310	1	110.102	554.841	1	-1.000	-1.000	0	-1.000	-1.000	0
838.949	601.661	1	696.808	601.734	1	549.748	601.928	1	415.135	601.960	1	630.250	454.733	1	483.632	454.924	1	340.779	454.858	1	222.168	454.662	1	436.043	598.178	1	297.569	598.163	1	164.537	598.086	1	-1.000	-1.000	0	295.935	461.662	1	173.111	461.720	1	42.135	461.919	1	-1.000	-1.000	0	240.249	591.737	1	109.308	591.330	1	-1.000	-1.000	0	-1.000	-1.000	0
832.513	644.729	1	690.809	644.922	1	543.739	644.992	1	409.328	645.244	1	625.035	496.777	1	478.817	496.999	1	336.321	497.047	1	217.522	496.979	1	432.125	638.604	1	294.011	638.525	1	161.201	638.295	1	-1.000	-1.000	0	293.313	500.806	1	170.951	500.703	1	40.569	500.555	1	-1.000	-1.000	0	238.089	627.174	1	108.241	627.597	1	-1.000	-1.000	0	-1.000	-1.000	0
831.544	685.198	1	691.235	685.205	1	545.410	684.881	1	412.589	684.355	1	626.679	535.338	1	482.112	535.037	1	340.732	534.175	1	223.521	533.513	1	439.645	673.589	1	285.481	666.289	1	-1.000	-1.000	0	34.601	672.819	1	301.061	530.925	1	-1.000	-1.000	0	-1.000	-1.000	0	-1.000	-1.000	0	-1.000	-1.000	0	-1.000	-1.000	0	-1.000	-1.000	0	-1.000	-1.000	0
